Section,Sr_No,IS_Standard_No,Title_Product_Category,Requirement_Specific_Details,Notification_QCO_Details
BIS Compulsory Certification - QCOs (General),1,IS 9:35 / IS 9:26 / IS 16585:2016,Stampings/lof transformers (with or without winding),"Made from BIS standard marked Grain Oriented Electrical Steel Sheet and Strip conforming to IS 9:35, or Cold rolled non-oriented electrical steel sheet and strip conforming to IS 9:26, or Magnetic materials specification for individual material Fe based amorphous strip delivered in semi-processed state conforming to IS 16585:2016","Steel and Steel Products (Quality Control) Order, 2020; S.O. 1673(E), dated 27/05/2020; Extension Order on enforcement date of QCO on Stamping Laminations Cores of Transformers"
BIS Compulsory Certification - QCOs (General),2,IS 10613:2023,Requirement of Retro-Reflective Devices for Bicycles,Clause 2/4/2002 of IS 10613:2023 Bicycles - Retro Reflective Devices,"Bicycles - Retro Reflective Devices (Quality Control) Order, 2020 (S.O. 2290(E) dated 07/07/2020); Order, 2021 (S.O. 2028(E) dated 25/05/2021); Amendment Order, 2021 (S.O. 5400(E) dated 24/12/2021); Retro-Reflective Devices (Quality Control) Order, 2023 (S.O. 882(E) dated 23/02/2023); Corrigendum Amendment Order, 2023 (S.O. 1441(E) dated 27/03/2023)"
Low Voltage Switchgear and Controlgear (Ministry of Heavy Industries) - Electrical Equipment QCO,1.1(a),IS/IEC 60947 Part 2:2016,"AC Circuit-Breakers (Category A) - All ratings upto 630A, upto 440V AC",All test as per IS/IEC 60947 Part 2:2016 except test listed in Sr.No.1.1(b),"Electrical Equipment (QC) Order, 2020, S.O.4044(E) dtd 11 Nov 2020; Amendment Order, 2023, S.O.2132(E) dtd 9 May 2023; Second Amendment Order, 2024, S.O.1896(E) dtd 3 May 2024"
Low Voltage Switchgear and Controlgear (Ministry of Heavy Industries) - Electrical Equipment QCO,1.1(b),IS/IEC 60947 Part 2:2016,"AC Circuit-Breakers (Category A) - All ratings above 630A, upto 440V AC",Electromagnetic compatibility (Annex J) and all tests specified for specific application in Annexure(s),"Deferment of upcoming phase implementation of Electrical Equipment (QC) Order 2020 and amendments, S.O.5038(E) dtd 6 Nov 2025"
Low Voltage Switchgear and Controlgear (Ministry of Heavy Industries) - Electrical Equipment QCO,1.2(a),IS/IEC 60947 Part 2:2016,"AC Circuit-Breakers (Category A) - All ratings above 630A, upto 440V AC",All test as per IS/IEC 60947 Part 2:2016 except test listed in Sr.No.1.2(b),"Second Amendment Order, 2024, S.O.2007(E) dtd 5 May 2025; Deferment Order, S.O.5038(E) dtd 6 Nov 2025"
Low Voltage Switchgear and Controlgear (Ministry of Heavy Industries) - Electrical Equipment QCO,1.2(b),IS/IEC 60947 Part 2:2016,"AC Circuit-Breakers (Category A) - All ratings above 630A, upto 440V AC","Electromagnetic compatibility (EMC, Annex J) and all tests for specific application in Annexure(s)","Deferment Order, S.O.5038(E) dtd 6 Nov 2025"
Low Voltage Switchgear and Controlgear (Ministry of Heavy Industries) - Electrical Equipment QCO,1.3(a),IS/IEC 60947 Part 2:2016,"AC Circuit-Breakers (Category B) - All ratings upto 2000A, upto 440V AC",All test as per IS/IEC 60947 Part 2:2016 except test listed in Sr.No.1.3(b),"Second Amendment Order, 2024, S.O.2007(E) dtd 5 May 2025; Deferment Order, S.O.5038(E) dtd 6 Nov 2025"
Low Voltage Switchgear and Controlgear (Ministry of Heavy Industries) - Electrical Equipment QCO,1.3(b),IS/IEC 60947 Part 2:2016,"AC Circuit-Breakers (Category B) - All ratings upto 2000A, upto 440V AC",Electromagnetic compatibility (EMC) and all tests for specific application in Annexure(s),"Deferment Order, S.O.5038(E) dtd 6 Nov 2025"
Low Voltage Switchgear and Controlgear (Ministry of Heavy Industries) - Electrical Equipment QCO,1.4,IS/IEC 60947 Part 2:2016,AC Circuit-Breakers (Category A) - All ratings above 440V AC,All test as per IS/IEC 60947 Part 2:2016,"Deferment Order, S.O.5038(E) dtd 6 Nov 2025"
Low Voltage Switchgear and Controlgear (Ministry of Heavy Industries) - Electrical Equipment QCO,1.5,IS/IEC 60947 Part 2:2016,"AC Circuit-Breakers (Category B) - ratings above 2000A, upto 440V AC",All test as per IS/IEC 60947 Part 2:2016,"Deferment Order, S.O.5038(E) dtd 6 Nov 2025"
Low Voltage Switchgear and Controlgear (Ministry of Heavy Industries) - Electrical Equipment QCO,1.6,IS/IEC 60947 Part 2:2016,AC Circuit-Breakers (Category B) - All ratings above 440V AC,All test as per IS/IEC 60947 Part 2:2016,"Deferment Order, S.O.5038(E) dtd 6 Nov 2025"
Low Voltage Switchgear and Controlgear (Ministry of Heavy Industries) - Electrical Equipment QCO,1.7,IS/IEC 60947 Part 2:2016,DC Circuit-Breaker (Category A) - All ratings,All test as per IS/IEC 60947 Part 2:2016,"Deferment Order, S.O.5038(E) dtd 6 Nov 2025"
