record_id,is_number,standard_title,standard_year,revision_status,amendment,reaffirmation,committee,classification,source_url
1,IS 12742 : 1989,Guide for de,1989,Reviewed/Reaffirmed,0,2023,FAD 30,Guide,BIS Know Your Standard
2,IS 12918 : 1990,Guide for rem,1990,Reviewed/Reaffirmed,0,2022,FAD 30,Guide,BIS Know Your Standard
3,IS 14724 : 1999,Water Purifi,1999,Reviewed,2,2023,FAD 30,Product Specification,BIS Know Your Standard
4,IS 16240 : 2023,Reverse Osm,2023,First Revision,1,,FAD 30,Product Specification,BIS Know Your Standard
5,IS 18183 : 2023,Point of use,2023,New,0,,FAD 30,Product Specification,BIS Know Your Standard
6,IS 19197 : 2025,Ultrafiltratio,2025,New,0,,FAD 30,Product Specification,BIS Know Your Standard
7,IS 7402 : 2011,Ceramic wat,2011,Reviewed,1,2021,FAD 30,Product Specification,BIS Know Your Standard
8,IS 10048 : 2024,Rice Length,2024,Third Revision,0,,FAD 20,Product Specification,BIS Know Your Standard
9,IS 10507 : 2024,Paddy Separ,2024,Second Revision,0,,FAD 20,Product Specification,BIS Know Your Standard
10,IS 10520 : 2024,Agricultural,2024,Second Revision,0,,FAD 20,Product Specification,BIS Know Your Standard
11,IS 11041 : 1984,Specification,1984,Reviewed,0,2020,FAD 20,Product Specification,BIS Know Your Standard
12,IS 11459 : 2024,Power-Oper,2024,First Revision,0,,FAD 20,Product Specification,BIS Know Your Standard
13,IS 11787 : 2024,Paddy Dehu,2024,First Revision,0,,FAD 20,Product Specification,BIS Know Your Standard
14,IS 11834 : 2023,Rice Milling,2023,First Revision,0,,FAD 20,Code/Guide,BIS Know Your Standard
15,IS 12396 : 2024,Paddy Clean,2024,First Revision,0,,FAD 20,Product Specification,BIS Know Your Standard
16,IS 15561 : 2005,Sugarcane C,2005,Reviewed,1,2020,FAD 20,Safety Requirements,BIS Know Your Standard
17,IS 15829 : 2009,Cassava Chip,2009,Reviewed,0,2020,FAD 20,Product Specification,BIS Know Your Standard
18,IS 18313 : 2023,Dehusker Sh,2023,New,0,,FAD 20,Product Specification,BIS Know Your Standard
19,IS 19039 : 2023,Cleaner Cum,2023,New,0,,FAD 20,Product Specification,BIS Know Your Standard
