Serial No,Indian Standard Number,Unit,Large Scale Enterprise Rate,MSME Rate,Slab 1 Unit Rate,Slab 1 Quantity,Slab 2 Unit Rate,Slab 2 Quantity,Slab 3 Unit Rate,Effective Date,Source Row
1760,,IS 18837 : 2024 1 Litre,117000.0,94000.0,0.9,All,0.0,,0.0,20260121,"1760 IS 18837 : 2024 1 Litre ₹ 1,17,000.00 ₹ 94,000.00 ₹ 0.90 All ₹ 0.00 0 ₹ 0.00 20260121"
1761,,IS 1809 : 2024 1 MT,198000.0,159000.0,33.0,All,0.0,,0.0,20260121,"1761 IS 1809 : 2024 1 MT ₹ 1,98,000.00 ₹ 1,59,000.00 ₹ 33.00 All ₹ 0.00 0 ₹ 0.00 20260121"
1762,,IS 4712 : 1984 1 MT,117000.0,94000.0,58.5,All,0.0,,0.0,20260121,"1762 IS 4712 : 1984 1 MT ₹ 1,17,000.00 ₹ 94,000.00 ₹ 58.50 All ₹ 0.00 0 ₹ 0.00 20260121"
1763,,IS 12370 (Part 2) : 2023/ ISO 4126-2: 2018 1 Set,65000.0,52000.0,1.3,All,0.0,,0.0,20260121,"1763 IS 12370 (Part 2) : 2023/ ISO 4126-2: 2018 1 Set ₹ 65,000.00 ₹ 52,000.00 ₹ 1.30 All ₹ 0.00 0 ₹ 0.00 20260121"
1764,,IS 10555 (Part 5) : 2013 1000 Pieces,318000.0,255000.0,8.0,All,0.0,,0.0,20260121,"1764 IS 10555 (Part 5) : 2013 1000 Pieces ₹ 3,18,000.00 ₹ 2,55,000.00 ₹ 8.00 All ₹ 0.00 0 ₹ 0.00 20260121"
1765,,IS 9202 : 2020 100 Pieces,290000.0,232000.0,38.0,All,0.0,,0.0,20260121,"1765 IS 9202 : 2020 100 Pieces ₹ 2,90,000.00 ₹ 2,32,000.00 ₹ 38.00 All ₹ 0.00 0 ₹ 0.00 20260121"
1766,,IS 2762 : 2009 1 MT,186000.0,149000.0,34.1,All,0.0,,0.0,20260121,"1766 IS 2762 : 2009 1 MT ₹ 1,86,000.00 ₹ 1,49,000.00 ₹ 34.10 All ₹ 0.00 0 ₹ 0.00 20260121"
1767,IS 19089 : 2025 One Apparat,,93000.0,75000.0,120.0,All,0.0,,0.0,20260218,"1767 IS 19089 : 2025 One Apparat ₹ 93,000.00 ₹ 75,000.00 ₹ 120.00 All ₹ 0.00 0 ₹ 0.00 20260218 [भाग III—खण् ड 4] भारत का रािपत्र : असाधारण 5 us"
1768,,IS 260 : 2024 1 MT,56000.0,45000.0,3.15,All,0.0,,0.0,20260218,"1768 IS 260 : 2024 1 MT ₹ 56,000.00 ₹ 45,000.00 ₹ 3.15 All ₹ 0.00 0 ₹ 0.00 20260218"
1769,,IS 16012 : 2012 1 MT,142000.0,114000.0,142.0,All,0.0,,0.0,20260218,"1769 IS 16012 : 2012 1 MT ₹ 1,42,000.00 ₹ 1,14,000.00 ₹ 142.00 All ₹ 0.00 0 ₹ 0.00 20260218"
1770,,IS 13702 : 1993 1 MT,72000.0,58000.0,11.55,All,0.0,,0.0,20260218,"1770 IS 13702 : 1993 1 MT ₹ 72,000.00 ₹ 58,000.00 ₹ 11.55 All ₹ 0.00 0 ₹ 0.00 20260218"
1771,,IS 16468 : 2016 1 MT,140000.0,112000.0,19.0,All,0.0,,0.0,20260218,"1771 IS 16468 : 2016 1 MT ₹ 1,40,000.00 ₹ 1,12,000.00 ₹ 19.00 All ₹ 0.00 0 ₹ 0.00 20260218"
1772,,IS 19267 : 2025 1 sqm,104000.0,84000.0,0.2,All,0.0,,0.0,20260218,"1772 IS 19267 : 2025 1 sqm ₹ 1,04,000.00 ₹ 84,000.00 ₹ 0.20 All ₹ 0.00 0 ₹ 0.00 20260218"
1773,,IS 6455 : 2020 100 pc,168000.0,135000.0,1.4,All,0.0,,0.0,20260218,"1773 IS 6455 : 2020 100 pc ₹ 1,68,000.00 ₹ 1,35,000.00 ₹ 1.40 All ₹ 0.00 0 ₹ 0.00 20260218"
1774,,IS 10654 : 2018 1000 Pc,278000.0,223000.0,0.2,All,0.0,,0.0,20260218,"1774 IS 10654 : 2018 1000 Pc ₹ 2,78,000.00 ₹ 2,23,000.00 ₹ 0.20 All ₹ 0.00 0 ₹ 0.00 20260218"
1775,,IS 4378 (Part 1) : 2017/ ISO 5749 : 2004 100 Pc,87000.0,70000.0,7.25,All,0.0,,0.0,20260218,"1775 IS 4378 (Part 1) : 2017/ ISO 5749 : 2004 100 Pc ₹ 87,000.00 ₹ 70,000.00 ₹ 7.25 All ₹ 0.00 0 ₹ 0.00 20260218"
